ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID,Original_Concept
martinpescadorave,*martin pescador (ave),,,261,martin pescador (ave)
resina,*resina,664,RESIN,262,resina
bibosiarbol,*bibosi (árbol),,,263,bibosi (árbol)
cascajo,*cascajo,3028,GRAVEL,264,cascajo
guerraenemigo,"*guerra,enemigo",,,265,"guerra,enemigo"
orillabanda,"*orilla,banda",,,266,"orilla,banda"
palometapez,*palometa (pez),,,267,palometa (pez)
sayamajo,"*saya,majo",,,268,"saya,majo"
majillopalmera,*majillo (palmera),,,268,majillo (palmera)
madremama,"*madre,mamá",1216,MOTHER,269,"madre,mamá"
alligator,*alligator,1581,ALLIGATOR,270,alligator
arboldesiringa,*árbol de siringa,,,271,árbol de siringa
morir,*morir,1494,DIE,272,morir
llevarcargarabrazar,"*llevar,cargar,abrazar",,,273,"llevar,cargar,abrazar"
paujil,*paujil,315,CURASSOW,274,paujil
chonta,*chonta,440,CHONTA PALM,275,chonta
brujahechicero,"*bruja,hechicero",,,276,"bruja,hechicero"
caituhilohechoencasa,*caitu (hilo hecho en casa),,,277,caitu (hilo hecho en casa)
cerro,*cerro,639,MOUNTAIN,278,cerro
lagartocaiman,"*lagarto,caiman",,,279,"lagarto,caiman"
muchomalodificil,"*mucho,malo,difícil",,,280,"mucho,malo,difícil"
gredabarrocoloradopiedra,"*greda,barro colorado,piedra",,,281,"greda,barro colorado,piedra"
tierra,*tierra,1228,EARTH (SOIL),281,tierra
tierraarena,"*tierra,arena",,,281,"tierra,arena"
mano,*mano,1277,HAND,282,mano
adjectivesuffix,*adjective suffix,,,283,adjective suffix
arma,*arma,951,WEAPONS,284,arma
dueno,*dueño,1036,OWNER,285,dueño
vaciar,*vaciar,,,286,vaciar
vacio,*vacío,1624,EMPTY,287,vacío
recoger,*recoger,371,PICK UP,288,recoger
causativesuffix,*causative suffix,,,289,causative suffix
mananaayer,"*mañana,ayer",,,290,"mañana,ayer"
celar,*celar,,,291,celar
2dapersona,*2da persona,1213,YOU,292,2da persona
palabrahablarcantar,"*palabra,hablar,cantar",,,293,"palabra,hablar,cantar"
dardecomer,*dar de comer,739,FEED,294,dar de comer
pancho,*pancho,,,295,pancho
arrancardesplumar,"*arrancar,desplumar",,,296,"arrancar,desplumar"
tacuaraflauta,"*tacuara,flauta",,,297,"tacuara,flauta"
ceniza,*ceniza,646,ASH,298,ceniza
seco,*seco,1398,DRY,299,seco
crecer,*crecer,479,GROW,300,crecer
