ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID,Original_Concept
durofuerte,"*duro,fuerte",,,401,"duro,fuerte"
silencio,*silencio,3458,SILENCE,402,silencio
higado,*hígado,1224,LIVER,403,hígado
casa,*casa,1252,HOUSE,404,casa
hormigacazadora,*hormiga cazadora,,,405,hormiga cazadora
anillo,*anillo,1374,RING,406,anillo
calabaceragrandeinsecto,*calabacera grande (insecto),,,407,calabacera grande (insecto)
remarbatir,"*remar,batir",,,408,"remar,batir"
clavararreglar,"*clavar,arreglar",,,409,"clavar,arreglar"
papa,*papá,1217,FATHER,410,papá
cana,*caña,659,REED,411,caña
dormir,*dormir,1585,SLEEP,412,dormir
pavo,*pavo,2386,TURKEY,413,pavo
matarcazar,"*matar,cazar",,,414,"matar,cazar"
jacuu,*jacuú,,,415,jacuú
cerrar,*cerrar,1046,SHUT,416,cerrar
esconderse,*esconderse,2485,HIDE (ONESELF),417,esconderse
chaco,*chaco,,,418,chaco
fuego,*fuego,221,FIRE,419,fuego
apagar,*apagar,127,EXTINGUISH,419,apagar
quemar,*quemar,141,BURN (SOMETHING),419,quemar
troncopierna,"*tronco,pierna",,,420,"tronco,pierna"
piernafalda,"*pierna,falda",,,420,"pierna,falda"
piernamuslo,"*pierna,muslo",,,420,"pierna,muslo"
dar,*dar,1447,GIVE,421,dar
detrasatras,"*detrás,atrás",1686,BEHIND,421,"detrás,atrás"
atrasdespues,"*atrás,después",,,421,"atrás,después"
reflexivesuffix,*reflexive suffix,,,422,reflexive suffix
una,*uña,1896,FINGERNAIL OR TOENAIL,423,uña
cintura,*cintura,1681,WAIST,424,cintura
centro,*centro,491,CENTER,425,centro
raiz,*raíz,670,ROOT,426,raíz
terminar,*terminar,1766,FINISH,427,terminar
tronar,*tronar,,,428,tronar
quejido,*quejido,,,429,quejido
pisararanar,"*pisar,arañar",,,430,"pisar,arañar"
3rapersona,*3ra persona,,,431,3ra person
barriga,*barriga,1251,BELLY,432,barriga
encender,*encender,737,LIGHT (IGNITE),433,encender
cortartrozar,"*cortar,trozar",,,434,"cortar,trozar"
lorochico,*loro (chico),882,PARROT,435,loro (chico)
ojo,*ojo,1248,EYE,436,ojo
motacu,*motacú,,,437,motacú
piedra,*piedra,857,STONE,438,piedra
lombriz,*lombriz,1219,WORM,439,lombriz
pesar,*pesar,1098,WEIGH,440,pesar
nietanieto,"*nieta,nieto",1618,GRANDSON,441,"nieta,nieto"
sobrinosobrina,"*sobrino,sobrina",1063,NEPHEW,441,"sobrino,sobrina"
hermanomayor,*hermano mayor,1759,OLDER BROTHER,441,hermano mayor
asi,*así,,,442,así
espuma,*espuma,1768,FOAM,443,espuma
luz,*luz,630,LIGHT (RADIATION),444,luz
silbar,*silbar,1025,WHISTLE,445,silbar
tabaco,*tabaco,974,TOBACCO,446,tabaco
marfilpalmera,*marfil (palmera),,,447,marfil (palmera)
caerse,*caerse,2894,TUMBLE (FALL DOWN),448,caerse
sardina,*sardina,,,449,sardina
agua,*agua,948,WATER,451,agua
mezclar,*mezclar,2017,MIX,452,mezclar
chancodetropa,*chanco de tropa,,,453,chanco de tropa
pie,*pié,1301,FOOT,454,pié
sabanon,*sabañon,,,455,sabañon
chico,*chico,1246,SMALL,456,chico
paloma,*paloma,1853,DOVE,457,paloma
conejo,*conejo,1136,RABBIT,458,conejo
poner,*poner,998,PUT,459,poner
humo,*humo,778,SMOKE (EXHAUST),461,humo
abejo,*abejo,,,462,abejo
algodon,*algodón,1850,COTTON,463,algodón
palizado,*palizado,,,464,palizado
huaracachiave,*huaracachi (ave),,,465,huaracachi (ave)
toco,*toco,,,466,toco
autoridad,*autoridad,1637,AUTHORITY,467,autoridad
abejamiel,"*abeja,miel",,,468,"abeja,miel"
rana,*rana,503,FROG,469,rana
sudorsudar,"*sudor,sudar",2458,PERSPIRE OR SWEAT,470,"sudor,sudar"
mosca,*mosca,1504,FLY (INSECT),471,mosca
nariz,*nariz,1221,NOSE,472,nariz
ahogar,*ahogar,1904,DROWN,473,ahogar
desnudarsacardestejar,"*desnudar,sacar,destejar",,,474,"desnudar,sacar,destejar"
cera,*cera,3942,WAX,476,cera
orina,*orina,1142,URINE,477,orina
perdizchica,*perdiz chica,,,478,perdiz chica
soplar,*soplar,175,BLOW (OF WIND),479,soplar
vestir,*vestir,976,WEAR,480,vestir
espigacogollo,"*espiga,cogollo",,,481,"espiga,cogollo"
colorear,*colorear,,,482,colorear
plantarclavar,"*plantar,clavar",,,483,"plantar,clavar"
ramagajo,"*rama,gajo",3223,BRANCH OR TWIG,484,"rama,gajo"
banda,*banda,,,485,banda
espiga,*espiga,1249,SPIKE,487,espiga
pasttense,*past tense,,,488,past tense
coca,*coca,137,COCA,489,coca
cernerpunzar,"*cerner,punzar",,,490,"cerner,punzar"
sancochar,*sancochar,,,491,sancochar
isla,*isla,622,ISLAND,492,isla
prender,*prender,,,493,prender
azulverde,"*azul,verde",2382,BLUE OR GREEN,494,"azul,verde"
defecar,*defecar,676,SHIT (DEFECATE),495,defecar
plato,*plato,480,PLATE,496,plato
barrigaintestinos,"*barriga,intestinos",,,497,"barriga,intestinos"
cangrejo,*cangrejo,2348,CRAB,498,cangrejo
negro,*negro,163,BLACK,499,negro
unirjuntar,"*unir,juntar",1743,JOIN,501,"unir,juntar"
noche,*noche,1233,NIGHT,502,noche
ensartarcosturar,"*ensartar,costurar",,,503,"ensartar,costurar"
capibara,*capibara,314,CAPYBARA,504,capibara
barrer,*barrer,230,SWEEP,180,barrer
lavar,*lavar,1453,WASH,181,lavar
izquierdozurdo,"*izquierdo,zurdo",,,182,"izquierdo,zurdo"
hincharse,*hincharse,1573,SWELL,188,hincharse
concha,*concha,598,SHELL,189,concha
arana,*araña,843,SPIDER,190,araña
maiz,*maíz,506,MAIZE,191,maíz
cicatriz,*cicatriz,497,SCAR,192,cicatriz
oler,*oler,2124,SMELL,193,oler
canasta,*canasta,1539,BASKET,194,canasta
echar,*echar,1456,THROW,195,echar
desiderative,*desiderative,,,197,desiderative
derivativesuffixwithreferencetobodyparts,*derivative suffix with reference to body parts,,,198,derivative suffix with reference to body parts
