Grapheme	IPA	Frequency
b	b	76
a	a	275
ʔ	ʔ	20
o	o	87
-	+	229
e	e	204
m	m	36
h	h	82
n	n	73
i	i	226
k	k	77
(	NULL	2
)	NULL	2
y	j	19
č	tʃ	15
s	s	63
ó	ó/o	11
w	w	73
t	t	57
u	u	14
š	ʃ	25
é	é/e	12
p	p	21
í	í/i	14
á	á/a	12
ñ	ɲ	9
d	d	17
l	l	1
x	x	1
g	g	1
j	j	1
_	+	
bh	β	
