Grapheme	IPA	Frequency
a	a	122
n	n	42
i	i	80
-	NULL	83
p	p	13
o	o	57
h	h	45
e	e	102
d	d	38
t	t	31
(	?(	1
)	?)	1
y	J	8
c	c	15
k	k	15
w	w	27
m	m	54
r	r	9
z	z	21
b	b	41
s	s	15
u	u	4
š	ʃ	11
č	tʃ	6
x	x	1
ʔ	ʔ	4
l	l	2
 	? 	2
~	~	1
