Grapheme	IPA	Frequency
e	e	48
a	a	43
n	n	10
á	á/a	2
u	u	31
p	p	8
m	m	14
b	b	17
i	i	30
c	ts	20
v	β	6
z	z	6
ù	u	4
r	r	8
â	a	1
t	t	12
h	h	13
-	+	4
î	i	1
s	s	9
è	e	3
û	u	2
g	g	1
_	+	
^-	NULL	
