Grapheme	IPA	Frequency
e	e	44
a	a	57
n	n	11
i	i	34
y	j	4
d	d	14
-	NULL	8
ñ	ɲ	3
c	c	9
u	u	34
s	s	8
b	b	14
 	NULL	3
x	x	2
o	o	6
(	NULL	1
)	NULL	1
t	t	18
j	j	6
ï	iː	1
z	z	5
m	m	15
,	NULL	1
h	h	2
f	f	1
v	v	3
k	k	3
p	p	6
l	l	2
