Grapheme	IPA	Frequency
á	á	13
n	n	10
o	o	2
b	b	4
a	a	14
/	?/	6
m	m	3
i	i	21
é	é	8
k	k	10
e	e	13
-	NULL	9
s	s	4
w	w	8
d	d	2
x	x	7
ó	ó	5
N	<?>	2
g	g	2
í	í	5
h	h	1
p	p	3
y	y	2
t	t	3
