Grapheme	IPA	Frequency
y	j	2
a	a	18
n	n	2
w	w	5
i	i	9
h	h	3
b	b	6
k	k	6
kw	kʷ	
ñ	ɲ	1
c	ts	2
u	u	1
p	p	2
e	e	4
ä	a	1
s	s	2
t	t	1
o	o	1
d	d	1
_	+	
