Grapheme	IPA	Frequency
a	a	47
k	k	7
w	w	13
i	i	40
b	b	9
t	t	19
h	h	20
u	u	6
o	o	12
n	n	6
s	s	3
d	d	6
e	e	3
l	l	1
v	β	
m	m	2
p	p	2
r	r	1
ʔ	ʔ	1
g	g	1
ñ	ɲ	2
y	j	2
_	+	
