Grapheme	IPA	Frequency
a	a	1698
-	+	1632
h	h	468
b	b	309
u	u	707
t	t	370
i	i	1096
k	k	229
e	e	1046
y	j	36
m	m	287
n	n	379
d	d	412
r	r	194
s	s	231
č	tʃ	86
p	p	223
(	NULL	19
)	NULL	19
w	w	280
ʔ	ʔ	17
 	+ 	92
c	c	213
ř	ɽ	59
é	é/e	5
v	v	26
š	ʃ	3
,	NULL	5
o	o	14
'	NULL	2
j	j	1
~	NULL	3
á	á/a	2
_	+
