Grapheme	IPA	Frequency
a	a	29
g	g	11
e	e	28
n	n	11
i	i	21
b	b	5
u	u	17
t	t	6
-	+	4
y	j	3
v	β	2
c	ts	12
c̹	ʈʂ	
p	p	1
h	h	5
z	s	5
s	s	5
r	r	4
rˈ	r	3
m	m	5
q	q	1
j	j	1
_	+	
^-	NULL	
-$	NULL	
