Grapheme	IPA	Frequency
a	a	2001
-	+	1700
y	j	148
k	k	787
kw	kʷ	
kwi	kʷ i	
kwe	kʷ e	
wi	β i
we	β e
ea	j a
S	s|z/s
e	e	1057
n	n	364
t	t	
i	i	1088
m	m	298
b	b	297
o	o	515
u	u	257
á	á/a	2
w	w	386
r	r	358
d	d	
p	p	243
ʔ	ʔ	42
h	h	398
š	ʃ	16
c	ts	143
č	tʃ	62
s	s	115
v	β	25
ñ	ɲ	2
z	z	
_	+	
^-	NULL	
-$	NULL	
dʲ	d i	
lʲ	l i	
tʲ	t i
