Grapheme	IPA	Frequency
a	a	448
-	+	152
b	b	97
u	u	209
m	m	86
k	k	139
e	e	218
r	r	62
n	n	84
i	i	290
p	p	63
s	s	55
ʔ	ʔ	27
kʷ	kʷ	1
kw	kʷ	
+...	NULL
...	NULL
z	z	34
c	ʈʂ	74
c̣	ʈʂ	
d	d	52
w	w	132
ř	ɽ	59
t	t	80
j	ʃ	29
y	j	7
o	o
_	+
A	a|e/a
I	i|e/i
Ä	a|u/a
-$	NULL
^-	NULL	
