Grapheme	IPA	Frequency
á	á/a	13
n	n	10
o	o	2
b	b	4
a	a	14
m	m	3
i	i	21
é	é/e	8
k	k	10
kw	kʷ	
e	e	13
-	+	9
s	s	4
š	ʃ
w	w	8
d	d	2
x	x	7
ó	ó/o	5
g	g	2
í	í/i	5
h	h	1
p	p	3
y	j	2
t	t	3
gw	gʷ
/	NULL
_	+	
