Grapheme	IPA	Frequency
a	a	448
-	+	152
b	b	97
u	u	209
m	m	86
k	k	139
e	e	218
r	r	62
n	n	84
i	i	290
p	p	63
s	s	55
ʔ	ʔ	27
ʷ	w	1
{	NULL	8
/	NULL	9
}	NULL	8
z	z	34
.	NULL	57
c	c	74
̣	+	65
d	d	52
(	NULL	32
)	NULL	32
w	w	132
ř	ɽ	59
t	t	80
j	j	29
q	q	1
*	NULL	2
y	j	7
+	+	6
,	NULL	3
 	+	4
~	NULL	2
o	o	1
_	+
