Grapheme	IPA	Frequency
a	a	104
n	n	44
i	i	92
-	NULL	12
b	b	31
u	u	55
t	t	55
e	e	94
j	j	4
θ	θ	9
h	h	23
y	y	9
s	s	19
á	á	28
x	x	15
r	r	36
k	k	16
m	m	50
é	é	22
p	p	18
 	? 	2
v	v	17
c	c	14
,	?,	4
í	í	10
q	q	4
(	?(	2
)	?)	2
ú	ú	9
o	o	2
č	č	3
d	d	11
š	š	3
l	l	1
ó	ó	1
z	z	1
g	g	1
