Grapheme	IPA	Frequency
a	a	911
-	+	954
k	k	364
kw	kʷ	
b	b	121
o	o	329
e	e	624
m	m	107
x	x	218
n	n	122
i	i	532
s	s	135
I	!I/i
w	w	271
h	h	149
ʔ	ʔ	66
y	j	86
á	á/a	20
p	p	112
č	tʃ	27
š	ʃ	87
í	í/i	7
t	t	29
ñ	ɲ	35
é	é/e	5
d	d	46
ó	ó/o	4
_	+	
^-	NULL	
-$	NULL	
