GLOSS	PROTO_ID	PROTO_CONCEPT
barrio,parcialidad	21	*amigo
amigo,pariente,vecino,paisano	21	*amigo
enemigo	21	*amigo
alma,espíritu	21	*amigo
desalmado	21	*amigo
consanguíneo	21	*amigo
barbón (abeja chica)	22	*abeja
clase de abeja	22	*abeja
tierra,mundo,suelo	23	*mundo
abajo	23	*mundo
llanura	23	*mundo
mundo,suelo,piso,terreno	23	*mundo
anta	24	*tapir
anta,tapir	24	*tapir
tapir foot (plant sp.)	24	*tapir
cuñado (hermano de marido)	25	*marido
cuñada (hermana de marido)	25	*marido
suegra (madre de marido)	25	*marido
suegro (padre de marido)	25	*marido
soltera	25	*marido
concuñada	25	*marido
yerno	25	*marido
casar (refiere a mujeres)	25	*marido
casamiento,bode	25	*marido
husband	25	*marido
my husband	25	*marido
viuda	25	*marido
enviudar	25	*marido
cuñada	25	*marido
concuñado	25	*marido
novio	25	*marido
macho,marido	25	*marido
casada	25	*marido
casarse (la mujer)	25	*marido
sin marido	25	*marido
casar (mujer)	25	*marido
man	25	*marido
tener asco	26	*sucio
feo	26	*sucio
feo,sucio	26	*sucio
limpio	26	*sucio
contaminación	26	*sucio
depravación,embrutecer,escombro	26	*sucio
depravadamente	26	*sucio
huella	27	*mirar,ver
ver	27	*mirar,ver
mirar	27	*mirar,ver
mirar hacia arriba	27	*mirar,ver
escuchar,oir	27	*mirar,ver
see	27	*mirar,ver
venir,visitar	27	*mirar,ver
lo que ve	27	*mirar,ver
despertar,encontrar	27	*mirar,ver
mirar,encontrar,conocer	27	*mirar,ver
guia	27	*mostrar
color,parecido	27	*parecido
parecido,igual	27	*parecido
nada,falta	27	*parecido
se ve	27	*parecido
es preciso	27	*parecido
enseñar	27	*saber
aprender	27	*saber
sabe	27	*saber
prudente,sabe	27	*saber
profesor	27	*saber
acordarse	27	*saber
know	27	*saber
poza	28	*lago
lake	28	*lago
encuentro de río	28	*rocío,sereno
calmado,con paz	28	*rocío,sereno
silencio	28	*rocío,sereno
codo,esquina	29	*codo
elbow	29	*codo
brazo,brazo de río	29	*brazo
manco	29	*brazo
a la derecha,brazo derecho	29	*brazo
ala,manga de vestida	29	*brazo
arma	29	*brazo
wing	29	*brazo
arm	29	*brazo
braccio	29	*brazo
pelo del brazo,vello	29	*brazo
pulso	29	*brazo
manga	29	*brazo
puño,puñete	29	*brazo
dar puñete	29	*brazo
maña	29	*brazo
mañoso	29	*brazo
alcanzar	29	*brazo
codo,brazo	29	*brazo
espalda superior,pulmones	29	*espalda
back of body	29	*espalda
shoulder	29	*hombro
frío,fresco	30	*frío
hacer frío	30	*frío
enfriar,refrescar	30	*frío
refrescar	30	*frío
friolento	30	*frío
frescura	30	*frío
resfriar	30	*frío
enfriar	30	*frío
calofrío	30	*frío
fiebre (chills?)	30	*frío
cold	30	*frío
no hace frío	30	*frío
cielo (donde mora Dios)	31	*cielo
arriba	31	*cielo
bien arriba,alto	31	*cielo
de arriba	31	*cielo
sky	31	*cielo
sù	31	*cielo
giù	31	*cielo
heaven	31	*cielo
alzadora	31	*cielo
noon	31	*cielo
medio día	31	*cielo
alcanzar,conseguir	31	*cielo
sky,heavens	31	*cielo
grande	31	*cielo
pasar,ganar,alargar	31	*cielo
corona,celebro	31	*cielo
encopetar	31	*cielo
crecer	31	*largo
tall	31	*largo
alto,largo	31	*largo
corto,juatoco	31	*largo
estatura	31	*largo
cielo,arriba	31	*largo
ajoajo (árbol)	32	*ajoajo
hombre viejo	33	*abuelo
su abuelo	33	*abuelo
chef du village	33	*abuelo
dieu créateur	33	*abuelo
antiguos,antecesores	33	*abuelo
abuelos	33	*abuelo
abuelo,suegro	33	*abuelo
sucha colorada (pez)	33	*abuelo
grandfather	33	*abuelo
uncle	33	*abuelo
paquío (arbol grande)	34	*cedro
un bejuco con papas que se comen	35	*gualusa
gualusa (tubérculo)	35	*gualusa
hamaca	36	*colgar
viver	36	*colgar
quedar	36	*colgar
encostar	36	*colgar
ayudar	36	*colgar
colgable	36	*colgar
luna nueva	37	*luna
moon	37	*luna
mese	37	*luna
luna,mes	37	*luna
novilunio	37	*luna
impertinente,molesto	38	*desidia
aburrirse	38	*desidia
desidioso	38	*desidia
gorronazo	38	*desidia
gorrista	38	*desidia
hilado	39	*hilar
comprar,pedir	40	*pedir
estoy pidiendo	40	*pedir
voy a pedir	40	*pedir
preguntar	40	*pedir
pedir,reclamar	40	*pedir
pedir,suplicar,súplica	40	*pedir
petición	40	*pedir
ruego	40	*pedir
indagar	40	*pedir
decir	40	*pedir
conceder,devoción	40	*pedir
name	41	*nombre
nom	41	*nombre
innominado	41	*nombre
nombrar	41	*nombre
jochi pintado (aguti)	42	*jochi pintado
víboro	43	*víbora
hoja de víbora	43	*víbora
snake	43	*víbora
water boa	43	*víbora
rattlesnake	43	*víbora
culebra,serpiente,víbora	43	*víbora
cheperequi (árbol)	43	*víbora
la flor morado de un árbol	43	*víbora
grosca,hidra	43	*víbora
coral	43	*víbora
nuera	44	*hijo
sobrina/o (hija/o de hermana de madre o de hermano de padre)	44	*hijo
hija	44	*hijo
yerno	44	*hijo
my daughter/son	44	*hijo
son	44	*hijo
daufhter	44	*hijo
muchacha (chica)	44	*hijo
alzadora	44	*hijo
criatura,muchacho	44	*hijo
muchacho	44	*hijo
ahijado	44	*hijo
filial	44	*hijo
sobrino	44	*hijo
hijastro	44	*hijo
paria	44	*hijo
boy	44	*hijo
punzón,palo para sembrar	45	*sembrar
caricari (árbol con espina)	46	*caricari
jausi	47	*jausi,lagartija
peni (clase de lagarto)	47	*jausi,lagartija
lagartija	47	*jausi,lagartija
salado	48	*sal
salt	48	*sal
sin sal	48	*sal
está con sal	48	*sal
acomodar,arreglar	49	*acomodar
adornado,compuesto	49	*acomodar
componer	49	*acomodar
entretener	49	*acomodar
acomodar,limpiar,componer	49	*acomodar
acomodado	49	*acomodar
arrojar,vomitar	50	*arrojar
volcar	50	*arrojar
tiesto de barro,tostador	51	*tostar
tostar,freir	51	*tostar
turbio,agua turbia	52	*ventear
flato	52	*ventear
huelgo,eructar	52	*ventear
mécelo	52	*ventear
wind	52	*viento
vento	52	*viento
sur	52	*viento
ventarron	52	*viento
mandar,despachar	53	*traer
aparejar	53	*traer
espinaza	54	*espalda
vena de la hoja del motacú	54	*espalda
mango,e.g.,cuchillo	54	*espalda
back	54	*espalda
riñones	54	*espalda
hombro	54	*espalda
clavícula	54	*espalda
nadar,bracear	54	*nadar
a nado	54	*nadar
bañarse	54	*nadar
cruzar (el río)	54	*nadar
por encima,montado	55	*encima
encima,sobre,muy	55	*encima
demasiado,por de más	55	*encima
peor,por de más	55	*encima
engradecer	55	*encima
enteramente	55	*encima
externo	55	*encima
creciente	55	*encima
enorme	55	*encima
extraordinario	55	*encima
intemporie	55	*encima
tapar	55	*también
mojar	55	*también
demasiado,mucho,encima	55	*también
antes	55	*también
tambien,nada,aún todavía,aunque,en cuanto	55	*también
vaciar	55	*también
velar	55	*también
encomendar	55	*también
enjugar	55	*también
apurarse	55	*también
defenderse,resistirse	55	*también
fardo	55	*también
seguido	55	*también
enfermer,contagiar	55	*también
arriba (río arriba)	55	*río arriba
arriba del río	55	*río arriba
en haut	55	*río arriba
above	55	*río arriba
buzzard	56	*buitre negro
sucha	56	*buitre negro
gallinazo	56	*buitre negro
alegría	57	*feliz,alegre,contento
alegre,contento	57	*feliz,alegre,contento
cariño,halago	57	*feliz,alegre,contento
halago,cariño,halagar	57	*feliz,alegre,contento
acarícialo	57	*feliz,alegre,contento
afortunado	57	*feliz,alegre,contento
contento	57	*feliz,alegre,contento
está contento	57	*feliz,alegre,contento
adorar	57	*feliz,alegre,contento
alegrarse	57	*feliz,alegre,contento
chistoso	57	*querer
conseguir,andar atener suerte	57	*querer
querer,desear,agradar,tener ganas,gustar	57	*querer
prohibir,no querer	57	*querer
determinar	57	*querer
indeterminado	57	*querer
cosquilloso	57	*querer
tick	58	*garrapata
delgado	59	*escarbar
afinar (con azuela)	59	*escarbar
ya	60	*viejo
viejo,antiguo,antes	60	*viejo
two	61	*dos
gemelo	61	*dos
acompañar	61	*dos
3	61	*dos
4	61	*dos
algunos	61	*dos
jugar	61	*dos
2	61	*dos
perezoso	62	*oso hormiguero,oso perezoso
oso hormiguero	62	*oso hormiguero,oso perezoso
oso	62	*oso hormiguero,oso perezoso
liendre	63	*piojo
lice	63	*piojo
louse	63	*piojo
despiojar	63	*piojo
expulgar	63	*piojo
piojera	63	*piojo
canoa,cedro	65	*balsa
espalda de la canoa	65	*balsa
cáscara del cedro	65	*balsa
popa de la canoa	65	*balsa
canoa (juguete)	65	*balsa
paloma cuquisa	66	*cuquisa
cuquisa	66	*cuquisa
chile,chili pepper	67	*ají
triste	68	*pesado
muy pesado	68	*pesado
no pesado	68	*pesado
bat	69	*murciélago
grande murciélago	69	*murciélago
pequeño murciélago	69	*murciélago
peto	70	*avispo,peto
clase de víbora	70	*avispo,peto
avispa	70	*avispo,peto
endulcer	71	*dulce
dolce	71	*dulce
endulzer	71	*dulce
cuero,piel,cáscara,corteza	72	*piel
skin	72	*piel
bark	72	*piel
piel,cutis,cuero	72	*piel
descascarar	72	*piel
spider monkey	74	*marimono
mono maquisapa	74	*marimono
mentira	75	*vergüenza
mentir	75	*vergüenza
mentiroso	75	*vergüenza
tener vergüenza	75	*vergüenza
avergonzado	75	*vergüenza
vergonzoso	75	*vergüenza
está enfadado	75	*vergüenza
suciedad,nubo	76	*sucio
nublado,sucio	76	*sucio
mancha	76	*sucio
manchar	76	*sucio
limpiada	76	*sucio
limpia,limpieza	76	*sucio
pureza	76	*sucio
limpiar	76	*sucio
nube	76	*sucio
escoba	76	*basura
delante de,al frente	77	*par
sin par	77	*par
recto	77	*par
paralelo	77	*par
correcto,la verdad	77	*par
canilla	77	*par
cara	77	*par
recién,primera vez	77	*par
así como,parece	77	*par
carilucio	77	*par
carinegro	77	*par
falso	77	*cara
ambos lados	77	*cara
serio,cara brava	77	*cara
sien	77	*cara
a un lado	77	*cara
un lado,otro lado	77	*cara
acompañar	77	*cara
compañero	77	*cara
tuerto	77	*cara
